scaffold,count
N=C1OC=NC1=O,1
N=C1OC=CCC1=O,1
N=C1OC=CC2CC1O2,1
O=C1C2CC3CC1C32,1
O=C1C2CC1O2,1
O=C1C2CC1C2,1
C1=CNCC1,1
O=C(Oc1ccccc1)c1cccc2ncccc12,1
O=C(Nc1cccs1)c1cccc2ncccc12,1
c1cn2n1CC2,1
O=C(Nc1ccccc1)c1ccccc1-c1cccc2ncccc12,1
O=C(NCc1ccccc1)c1cccc2ncccc12,1
O=C(NCc1cccc2ncccc12)C1CCCCC1,1
O=C(NCCc1ccccc1)c1cccc2ncccc12,1
O=C(NC1=NCCN1)N1CCOCC1,1
O1C2C3C1C23,1
O1C2C3C1C1C2C31,1
O1C2C1C1OC21,1
O1C2C1C1C3OC2C31,1
O=C1C=CCO1,1
O=C1C=CCC=CC1,1
O=C1C=CCC=C1,1
O=C1C=CC=NC1,1
O=C1C=CC=CCO1,1
C1=C(c2cccc3ncccc23)CCC1,1
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)C=C3)C=C1,1
O=C1C=CC12CCC2,1
C(=Nc1ccccc1)c1cccc2ncccc12,1
O=C1C=C2CCNC12,1
O=C1C2OC3CC2C13,1
O=C1C2COC12,1
O=C1C2CCC1CC2,1
O=C1C2CCC1C2,1
O=C1C2CCC12,1
O=C1C2CC3CC1C3C2,1
C1#CC2(C1)CCO2,1
O=C1CC2C3CC1CN23,1
O=C1CC2C(=O)C2N1,1
O=C1CC2=CNC=CN12,1
O=C1CC2=CCC1OC2,1
O=C1CC2=CCC1CC2,1
O=C1CC2=CCC12,1
O=C1CC2=CC(N1)O2,1
O=C1CC2(CO1)CO2,1
O=C1CC2(CCC2)N1,1
O=C1CC2(CCC2)C1,1
O=C1CC1,1
O=C1CC(c2nccc3ccccc23)C(=O)N1,1
O=C1CC(=O)[O][Sb-]2([O]1)[O]C1C(=O)[O][SbH-]3[O]C(=O)C([O]3)C1[O]2,1
O=C1C=NNC1,1
O=C1C=NCC=CO1,1
O=C1CCC2CC1C2,1
O=C1CCC2CC12,1
O=C1CCC23CC2CC13,1
O=C1CCC2(CC2)C1,1
O=C1CCC1CC1CC1,1
O=C1CCC1,1
C1=CNC=CC1,1
O=C1CC=COC(=O)N1,1
O=C1CC=CO1,1
O=C1CC=CC=N1,1
O=C1CC=CC=CO1,1
O=C1CC=CC=CN1,1
O=C1CC=C2CCC12,1
O=C1CC=C2CC2C1,1
