ai_rank,add1,add2,ai_score,opt_pce,synergy_delta,synergy_label,mechanisms
61,2-(4-氟苯基)乙胺盐酸盐,噻吩-2-甲脒氢碘酸盐,0.5,21.36,-0.45,antagonistic,"{'Dipole', 'Lewis'}"
62,3-氨基-1-丙烷磺酸,苯基三甲基溴化铵,0.5,21.45,-0.36,antagonistic,"{'Interface', 'Lewis'}"
63,氨基甲烷磺酸,苯基三甲基溴化铵,0.5,22.4,0.59,synergy,"{'Interface', 'Lewis'}"
64,2-氨基乙磺酸,苯基三甲基溴化铵,0.5,22.41,0.59,synergy,"{'Interface', 'Lewis'}"
65,二甲氨基硫代乙酰胺盐酸盐,四(五氟苯基)硼酸钾,0.5,21.44,-0.37,antagonistic,"{'Dipole', 'Lewis'}"
66,3-氨基-1-丙烷磺酸,二甲氨基硫代乙酰胺盐酸盐,0.5,22.42,0.6,synergy,"{'Interface', 'Lewis'}"
67,二甲氨基硫代乙酰胺盐酸盐,氨基甲烷磺酸,0.5,21.39,-0.42,antagonistic,"{'Interface', 'Lewis'}"
68,二甲氨基硫代乙酰胺盐酸盐,对甲苯磺酸水合物,0.5,22.38,0.56,synergy,"{'Interface', 'Lewis'}"
69,(2-苯乙基)磷酸,二甲氨基硫代乙酰胺盐酸盐,0.5,21.35,-0.47,antagonistic,"{'Interface', 'Lewis'}"
70,2-氨基乙磺酸,二甲氨基硫代乙酰胺盐酸盐,0.5,21.77,-0.04,neutral,"{'Interface', 'Lewis'}"
71,二甲氨基硫代乙酰胺盐酸盐,硫氰酸铅,0.5,21.88,0.07,neutral,"{'Dipole', 'Lewis'}"
72,S-乙基异硫脲氢溴酸盐,对甲苯磺酸水合物,0.5,22.79,0.98,synergy,"{'Interface', 'Lewis'}"
73,对甲苯磺酸水合物,氨基甲烷磺酸,0.5,21.72,-0.09,neutral,"{'Interface', 'Lewis'}"
74,对甲苯磺酸水合物,对苯二甲胺,0.5,23.24,1.42,synergy,"{'Interface', 'Lewis'}"
75,甘氨鹅脱氧胆酸钠,苯基三甲基溴化铵,0.35,22.3,0.49,neutral,{'Hbond'}
76,六氟磷酸钾,甘氨鹅脱氧胆酸钠,0.35,22.09,0.28,neutral,{'Hbond'}
77,二苯并呋喃,甘氨鹅脱氧胆酸钠,0.35,21.84,0.03,neutral,{'Hbond'}
78,三氟甲磺酸钠,甘氨鹅脱氧胆酸钠,0.35,21.84,0.03,neutral,{'Hbond'}
79,2-噻吩甲胺氢碘酸盐,甘氨鹅脱氧胆酸钠,0.35,21.76,-0.05,neutral,{'Hbond'}
80,甘氨鹅脱氧胆酸钠,香豆素,0.35,22.03,0.21,neutral,{'Hbond'}
81,二甲胺氢碘酸盐,甘氨鹅脱氧胆酸钠,0.35,22.43,0.62,synergy,{'Hbond'}
82,甘氨鹅脱氧胆酸钠,褪黑素,0.35,21.19,-0.62,antagonistic,{'Hbond'}
83,β-环糊精,甘氨鹅脱氧胆酸钠,0.35,22.03,0.21,neutral,{'Hbond'}
84,哌嗪单盐酸盐,甘氨鹅脱氧胆酸钠,0.35,22.5,0.69,synergy,{'Hbond'}
85,甘氨鹅脱氧胆酸钠,甲基丙烯酸二甲氨基乙酯,0.35,23.26,1.45,synergy,{'Hbond'}
86,2-乙酰基吡嗪,甘氨鹅脱氧胆酸钠,0.35,21.7,-0.11,neutral,{'Hbond'}
87,甲亢平,苯基三甲基溴化铵,0.35,22.73,0.91,synergy,{'Lewis'}
88,二甲氨基硫代乙酰胺盐酸盐,甲亢平,0.35,21.72,-0.09,neutral,{'Lewis'}
89,二甲氨基硫代乙酰胺盐酸盐,苯基三甲基溴化铵,0.35,21.01,-0.8,antagonistic,{'Lewis'}
90,3-巯基苯甲酸,苯基三甲基溴化铵,0.35,22.39,0.58,synergy,{'Lewis'}
91,S-乙基异硫脲氢溴酸盐,苯基三甲基溴化铵,0.35,23.28,1.47,synergy,{'Lewis'}
92,苯基三甲基溴化铵,褪黑素,0.35,22.24,0.43,neutral,{'Hbond'}
93,苯基三甲基溴化铵,醋酸甲脒,0.35,21.71,-0.1,neutral,{'Lewis'}
94,对苯二甲胺,苯基三甲基溴化铵,0.35,22.58,0.77,synergy,{'Lewis'}
95,4-氨基四氢噻喃盐酸盐,苯基三甲基溴化铵,0.35,23.02,1.21,synergy,{'Lewis'}
96,N-碘代丁二酰亚胺,苯基三甲基溴化铵,0.35,21.96,0.15,neutral,{'Hbond'}
97,噻吩-2-甲脒氢碘酸盐,苯基三甲基溴化铵,0.35,23.14,1.33,synergy,{'Lewis'}
98,二甲氨基硫代乙酰胺盐酸盐,六氟磷酸钾,0.35,22.01,0.2,neutral,{'Lewis'}
99,二甲氨基硫代乙酰胺盐酸盐,二苯并呋喃,0.35,21.64,-0.17,neutral,{'Lewis'}
100,三氟甲磺酸钠,二甲氨基硫代乙酰胺盐酸盐,0.35,21.96,0.15,neutral,{'Lewis'}
101,3-巯基苯甲酸,二甲氨基硫代乙酰胺盐酸盐,0.35,21.19,-0.62,antagonistic,{'Lewis'}
102,2-噻吩甲胺氢碘酸盐,二甲氨基硫代乙酰胺盐酸盐,0.35,21.05,-0.76,antagonistic,{'Lewis'}
103,二甲氨基硫代乙酰胺盐酸盐,香豆素,0.35,23.08,1.27,synergy,{'Lewis'}
104,S-乙基异硫脲氢溴酸盐,二甲氨基硫代乙酰胺盐酸盐,0.35,21.52,-0.29,neutral,{'Lewis'}
105,二甲氨基硫代乙酰胺盐酸盐,哌嗪单盐酸盐,0.35,22.07,0.25,neutral,{'Lewis'}
106,二甲氨基硫代乙酰胺盐酸盐,醋酸甲脒,0.35,21.81,0.0,neutral,{'Lewis'}
107,二甲氨基硫代乙酰胺盐酸盐,甲基丙烯酸二甲氨基乙酯,0.35,23.04,1.23,synergy,{'Lewis'}
108,4-氨基四氢噻喃盐酸盐,二甲氨基硫代乙酰胺盐酸盐,0.35,21.88,0.07,neutral,{'Lewis'}
109,2-乙酰基吡嗪,N-碘代丁二酰亚胺,0.35,21.61,-0.21,neutral,{'Hbond'}
110,四(五氟苯基)硼酸钾,对甲苯磺酸水合物,0.3,22.69,0.88,synergy,"{'Interface', 'Dipole'}"
111,对甲苯磺酸水合物,硫氰酸铅,0.3,22.26,0.45,neutral,"{'Interface', 'Dipole'}"
112,四(五氟苯基)硼酸钾,苯基三甲基溴化铵,0.15,22.45,0.64,synergy,{'Dipole'}
113,对甲苯磺酸水合物,苯基三甲基溴化铵,0.15,21.96,0.14,neutral,{'Interface'}
114,(2-苯乙基)磷酸,苯基三甲基溴化铵,0.15,23.05,1.24,synergy,{'Interface'}
