pk,PCE
二甲氨基硫代乙酰胺盐酸盐||六氟磷酸钾,22.0112
二甲氨基硫代乙酰胺盐酸盐||哌嗪单盐酸盐,22.0651
二甲氨基硫代乙酰胺盐酸盐||四(五氟苯基)硼酸钾,21.4436
二甲氨基硫代乙酰胺盐酸盐||对甲苯磺酸水合物,22.3762
二甲氨基硫代乙酰胺盐酸盐||氨基甲烷磺酸,21.3898
二甲氨基硫代乙酰胺盐酸盐||甘氨鹅脱氧胆酸钠,21.9258
二甲氨基硫代乙酰胺盐酸盐||甲亢平,21.7247
二甲氨基硫代乙酰胺盐酸盐||甲基丙烯酸二甲氨基乙酯,23.0395
二甲氨基硫代乙酰胺盐酸盐||甲胺盐酸盐,21.3006
二甲氨基硫代乙酰胺盐酸盐||甲酰胺,21.7752
二甲氨基硫代乙酰胺盐酸盐||硫氰酸铅,21.8809
二甲氨基硫代乙酰胺盐酸盐||苯基三甲基溴化铵,21.0133
二甲氨基硫代乙酰胺盐酸盐||褪黑素,20.8939
二甲氨基硫代乙酰胺盐酸盐||醋酸甲脒,21.8142
二甲氨基硫代乙酰胺盐酸盐||香豆素,23.0804
二甲胺氢碘酸盐||甘氨鹅脱氧胆酸钠,22.4334
二甲胺氢碘酸盐||苯基三甲基溴化铵,22.0142
二苯并呋喃||甘氨鹅脱氧胆酸钠,21.8405
二苯并呋喃||苯基三甲基溴化铵,22.1441
六氟磷酸钾||对甲苯磺酸水合物,22.3003
六氟磷酸钾||甘氨鹅脱氧胆酸钠,22.0939
六氟磷酸钾||苯基三甲基溴化铵,21.934
哌嗪单盐酸盐||甘氨鹅脱氧胆酸钠,22.5024
哌嗪单盐酸盐||苯基三甲基溴化铵,23.4526
噻吩-2-甲脒氢碘酸盐||苯基三甲基溴化铵,23.1417
四(五氟苯基)硼酸钾||对甲苯磺酸水合物,22.6926
四(五氟苯基)硼酸钾||甘氨鹅脱氧胆酸钠,21.5339
四(五氟苯基)硼酸钾||苯基三甲基溴化铵,22.4549
对甲苯磺酸水合物||对苯二甲胺,23.2377
对甲苯磺酸水合物||氨基甲烷磺酸,21.7237
对甲苯磺酸水合物||甘氨鹅脱氧胆酸钠,21.5094
对甲苯磺酸水合物||甲基丙烯酸二甲氨基乙酯,23.9977
对甲苯磺酸水合物||硫氰酸铅,22.2644
对甲苯磺酸水合物||苯基三甲基溴化铵,21.9553
对甲苯磺酸水合物||香豆素,22.674
对苯二甲胺||甘氨鹅脱氧胆酸钠,22.1699
对苯二甲胺||苯基三甲基溴化铵,22.578
氨基甲烷磺酸||甘氨鹅脱氧胆酸钠,21.9156
氨基甲烷磺酸||苯基三甲基溴化铵,22.4037
甘氨鹅脱氧胆酸钠||甲亢平,22.4431
甘氨鹅脱氧胆酸钠||甲基丙烯酸二甲氨基乙酯,23.2607
甘氨鹅脱氧胆酸钠||甲胺盐酸盐,21.7204
甘氨鹅脱氧胆酸钠||硫氰酸铅,21.728
甘氨鹅脱氧胆酸钠||苯基三甲基溴化铵,22.3049
甘氨鹅脱氧胆酸钠||褪黑素,21.1933
甘氨鹅脱氧胆酸钠||醋酸甲脒,22.0132
甘氨鹅脱氧胆酸钠||香豆素,22.0265
甲亢平||苯基三甲基溴化铵,22.7274
甲基丙烯酸二甲氨基乙酯||苯基三甲基溴化铵,22.7242
甲胺盐酸盐||苯基三甲基溴化铵,22.3896
甲胺盐酸盐||香豆素,22.8714
甲酰胺||苯基三甲基溴化铵,22.415
硫氰酸铅||苯基三甲基溴化铵,21.31
苯基三甲基溴化铵||褪黑素,22.2427
苯基三甲基溴化铵||醋酸甲脒,21.7115
苯基三甲基溴化铵||香豆素,23.0368
