add1,add2,score,mechs,rank
盐酸盐,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",197
盐酸盐,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",198
盐酸盐,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",199
盐酸盐,甲酰胺,0.7,"{'Lewis', 'Hbond'}",200
褪黑素,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",201
11-马来酰胺基十一烷酸,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",202
β-环糊精,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",203
褪黑素,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",204
褪黑素,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",205
4-氯吡啶-2-甲酰胺,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",206
褪黑素,对苯二甲胺,0.7,"{'Lewis', 'Hbond'}",207
褪黑素,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",208
褪黑素,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",209
11-马来酰胺基十一烷酸,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",210
褪黑素,醋酸甲脒,0.7,"{'Lewis', 'Hbond'}",211
β-环糊精,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",212
β-环糊精,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",213
甲酰胺,甲基丙烯酸二甲氨基乙酯,0.7,"{'Lewis', 'Hbond'}",214
10-菲咯啉,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",215
甲酰胺,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",216
4-苯基-3-硫代氨基脲,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",217
甲酰胺,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",218
甲酰胺,醋酸甲脒,0.7,"{'Lewis', 'Hbond'}",219
4-苯基-3-硫代氨基脲,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",220
4-苯基-3-硫代氨基脲,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",221
4-苯基-3-硫代氨基脲,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",222
11-马来酰胺基十一烷酸,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",223
10-菲咯啉,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",224
β-环糊精,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",225
10-菲咯啉,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",226
10-菲咯啉,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",227
10-菲咯啉,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",228
10-菲咯啉,甲酰胺,0.7,"{'Lewis', 'Hbond'}",229
哌嗪单盐酸盐,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",230
哌嗪单盐酸盐,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",231
哌嗪单盐酸盐,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",232
哌嗪单盐酸盐,甲酰胺,0.7,"{'Lewis', 'Hbond'}",233
哌嗪单盐酸盐,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",234
N-碘代丁二酰亚胺,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",235
甘氨鹅脱氧胆酸钠,醋酸甲脒,0.7,"{'Lewis', 'Hbond'}",236
甘氨鹅脱氧胆酸钠,"2,4-二氨基-6-氯嘧啶",0.7,"{'Lewis', 'Hbond'}",237
甘氨鹅脱氧胆酸钠,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",238
甲亢平,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",239
甲亢平,褪黑素,0.7,"{'Lewis', 'Hbond'}",240
甘氨鹅脱氧胆酸钠,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",241
甘氨鹅脱氧胆酸钠,3-二氨基丙烷二氢溴酸盐,0.7,"{'Lewis', 'Hbond'}",242
甘氨鹅脱氧胆酸钠,甲酰胺,0.7,"{'Lewis', 'Hbond'}",243
二甲氨基硫代乙酰胺盐酸盐,甲酰胺,0.7,"{'Lewis', 'Hbond'}",244
甘氨鹅脱氧胆酸钠,10-菲咯啉,0.7,"{'Lewis', 'Hbond'}",245
苯基三甲基溴化铵,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",246
二甲氨基硫代乙酰胺盐酸盐,褪黑素,0.7,"{'Lewis', 'Hbond'}",247
甲亢平,甲酰胺,0.7,"{'Lewis', 'Hbond'}",248
苯基三甲基溴化铵,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",249
甘氨鹅脱氧胆酸钠,盐酸盐,0.7,"{'Lewis', 'Hbond'}",250
甘氨鹅脱氧胆酸钠,3-巯基苯甲酸,0.7,"{'Lewis', 'Hbond'}",251
甲亢平,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",252
苯基三甲基溴化铵,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",253
甘氨鹅脱氧胆酸钠,8-辛二胺氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",254
甲亢平,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",255
甘氨鹅脱氧胆酸钠,S-乙基异硫脲氢溴酸盐,0.7,"{'Lewis', 'Hbond'}",256
二甲氨基硫代乙酰胺盐酸盐,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",257
苯基三甲基溴化铵,甲酰胺,0.7,"{'Lewis', 'Hbond'}",258
甘氨鹅脱氧胆酸钠,二甲氨基硫代乙酰胺盐酸盐,0.7,"{'Lewis', 'Hbond'}",259
甘氨鹅脱氧胆酸钠,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",260
二甲氨基硫代乙酰胺盐酸盐,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",261
二甲氨基硫代乙酰胺盐酸盐,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",262
二甲氨基硫代乙酰胺盐酸盐,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",263
甲亢平,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",264
甘氨鹅脱氧胆酸钠,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",265
甘氨鹅脱氧胆酸钠,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",266
苯基三甲基溴化铵,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",267
甘氨鹅脱氧胆酸钠,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",268
甘氨鹅脱氧胆酸钠,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",269
甲亢平,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",270
二甲氨基硫代乙酰胺盐酸盐,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",271
甘氨鹅脱氧胆酸钠,对苯二甲胺,0.7,"{'Lewis', 'Hbond'}",272
"2,4-二氨基-6-氟嘧啶",(2-苯乙基)磷酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",273
氨基甲烷磺酸,"2,4-二氨基-6-氟嘧啶",0.65,"{'Lewis', 'Dipole', 'Interface'}",274
氨基甲烷磺酸,硫氰酸铅,0.65,"{'Lewis', 'Dipole', 'Interface'}",275
2-(4-氟苯基)乙胺盐酸盐,氨基甲烷磺酸,0.65,"{'Lewis', 'Dipole', 'Interface'}",276
